symbol,tf,signal,sl,tp,trades,wins,losses,open,winrate,netR,expectancyR
BTCUSDT,4h,rsi_buy,3,9,4,1,3,0,0.2500,-0.20,-0.0500
BTCUSDT,1d,rsi_sell,1,1,11,6,5,0,0.5455,-0.65,-0.0591
BTCUSDT,1d,div_bear,1,1,4,0,4,0,0.0000,-4.60,-1.1500
BTCUSDT,1d,rsi_buy,1,1,6,0,6,0,0.0000,-6.90,-1.1500
BTCUSDT,1d,div_bull,1,1,4,1,3,0,0.2500,-2.60,-0.6500
BTCUSDT,1d,rsi_sell,1,2,11,5,6,0,0.4545,2.35,0.2136
BTCUSDT,1d,div_bear,1,2,4,0,4,0,0.0000,-4.60,-1.1500
BTCUSDT,1d,rsi_buy,1,2,6,0,6,0,0.0000,-6.90,-1.1500
BTCUSDT,1d,div_bull,1,2,4,0,4,0,0.0000,-4.60,-1.1500
BTCUSDT,1d,rsi_sell,1,3,11,2,9,0,0.1818,-4.65,-0.4227
BTCUSDT,1d,div_bear,1,3,4,0,4,0,0.0000,-4.60,-1.1500
BTCUSDT,1d,rsi_buy,1,3,6,0,6,0,0.0000,-6.90,-1.1500
BTCUSDT,1d,div_bull,1,3,4,0,4,0,0.0000,-4.60,-1.1500
BTCUSDT,1d,rsi_sell,2,2,11,7,4,0,0.6364,2.18,0.1977
BTCUSDT,1d,div_bear,2,2,4,3,1,0,0.7500,1.70,0.4250
BTCUSDT,1d,rsi_buy,2,2,6,2,4,0,0.3333,-2.45,-0.4083
BTCUSDT,1d,div_bull,2,2,4,1,3,0,0.2500,-2.30,-0.5750
BTCUSDT,1d,rsi_sell,2,4,11,3,8,0,0.2727,-2.83,-0.2568
BTCUSDT,1d,div_bear,2,4,4,2,2,0,0.5000,1.70,0.4250
BTCUSDT,1d,rsi_buy,2,4,6,2,4,0,0.3333,-0.45,-0.0750
BTCUSDT,1d,div_bull,2,4,4,1,3,0,0.2500,-1.30,-0.3250
BTCUSDT,1d,rsi_sell,2,6,11,1,10,0,0.0909,-7.82,-0.7114
BTCUSDT,1d,div_bear,2,6,4,2,2,0,0.5000,3.70,0.9250
BTCUSDT,1d,rsi_buy,2,6,6,1,5,0,0.1667,-2.45,-0.4083
BTCUSDT,1d,div_bull,2,6,4,1,3,0,0.2500,-0.30,-0.0750
BTCUSDT,1d,rsi_sell,3,3,11,5,6,0,0.4545,-1.55,-0.1409
BTCUSDT,1d,div_bear,3,3,4,2,2,0,0.5000,-0.20,-0.0500
BTCUSDT,1d,rsi_buy,3,3,6,3,3,0,0.5000,-0.30,-0.0500
BTCUSDT,1d,div_bull,3,3,4,4,0,0,1.0000,3.80,0.9500
