symbol,tf,signal,sl,tp,trades,wins,losses,open,winrate,netR,expectancyR
SOLUSDT,1d,rsi_buy,2,6,6,2,4,0,0.3333,1.55,0.2583
SOLUSDT,1d,div_bull,2,6,6,0,6,0,0.0000,-6.45,-1.0750
SOLUSDT,1d,div_bear,2,6,3,0,3,0,0.0000,-3.22,-1.0750
SOLUSDT,1d,rsi_sell,3,3,10,3,7,0,0.3000,-4.50,-0.4500
SOLUSDT,1d,rsi_buy,3,3,6,3,3,0,0.5000,-0.30,-0.0500
SOLUSDT,1d,div_bull,3,3,6,2,4,0,0.3333,-2.30,-0.3833
SOLUSDT,1d,div_bear,3,3,3,3,0,0,1.0000,2.85,0.9500
SOLUSDT,1d,rsi_sell,3,6,10,2,8,0,0.2000,-4.50,-0.4500
SOLUSDT,1d,rsi_buy,3,6,6,2,4,0,0.3333,-0.30,-0.0500
SOLUSDT,1d,div_bull,3,6,6,1,5,0,0.1667,-3.30,-0.5500
SOLUSDT,1d,div_bear,3,6,3,1,2,0,0.3333,-0.15,-0.0500
SOLUSDT,1d,rsi_sell,3,9,10,0,10,0,0.0000,-10.50,-1.0500
SOLUSDT,1d,rsi_buy,3,9,6,1,5,0,0.1667,-2.30,-0.3833
SOLUSDT,1d,div_bull,3,9,6,1,5,0,0.1667,-2.30,-0.3833
SOLUSDT,1d,div_bear,3,9,3,1,2,0,0.3333,0.85,0.2833
BNBUSDT,1h,div_bull,1,1,4,2,1,1,0.6667,0.55,0.1833
BNBUSDT,1h,rsi_buy,1,1,8,6,0,2,1.0000,5.10,0.8500
BNBUSDT,1h,rsi_sell,1,1,9,7,2,0,0.7778,3.65,0.4056
BNBUSDT,1h,div_bear,1,1,4,1,3,0,0.2500,-2.60,-0.6500
BNBUSDT,1h,div_bull,1,2,4,2,1,1,0.6667,2.55,0.8500
BNBUSDT,1h,rsi_buy,1,2,8,6,0,2,1.0000,11.10,1.8500
BNBUSDT,1h,rsi_sell,1,2,9,2,6,1,0.2500,-3.20,-0.4000
BNBUSDT,1h,div_bear,1,2,4,1,3,0,0.2500,-1.60,-0.4000
BNBUSDT,1h,div_bull,1,3,4,2,1,1,0.6667,4.55,1.5167
BNBUSDT,1h,rsi_buy,1,3,8,6,0,2,1.0000,17.10,2.8500
BNBUSDT,1h,rsi_sell,1,3,9,1,7,1,0.1250,-5.20,-0.6500
BNBUSDT,1h,div_bear,1,3,4,0,4,0,0.0000,-4.60,-1.1500
BNBUSDT,1h,div_bull,2,2,4,3,0,1,1.0000,2.78,0.9250
BNBUSDT,1h,rsi_buy,2,2,8,6,0,2,1.0000,5.55,0.9250
BNBUSDT,1h,rsi_sell,2,2,9,2,5,2,0.2857,-3.52,-0.5036
BNBUSDT,1h,div_bear,2,2,4,1,3,0,0.2500,-2.30,-0.5750
BNBUSDT,1h,div_bull,2,4,4,2,0,2,1.0000,3.85,1.9250
BNBUSDT,1h,rsi_buy,2,4,8,6,0,2,1.0000,11.55,1.9250
BNBUSDT,1h,rsi_sell,2,4,9,0,7,2,0.0000,-7.53,-1.0750
BNBUSDT,1h,div_bear,2,4,4,0,4,0,0.0000,-4.30,-1.0750
BNBUSDT,1h,div_bull,2,6,4,1,0,3,1.0000,2.92,2.9250
BNBUSDT,1h,rsi_buy,2,6,8,5,0,3,1.0000,14.63,2.9250
BNBUSDT,1h,rsi_sell,2,6,9,0,7,2,0.0000,-7.53,-1.0750
BNBUSDT,1h,div_bear,2,6,4,0,4,0,0.0000,-4.30,-1.0750
BNBUSDT,1h,div_bull,3,3,4,3,0,1,1.0000,2.85,0.9500
BNBUSDT,1h,rsi_buy,3,3,8,6,0,2,1.0000,5.70,0.9500
BNBUSDT,1h,rsi_sell,3,3,9,1,4,4,0.2000,-3.25,-0.6500
BNBUSDT,1h,div_bear,3,3,4,0,3,1,0.0000,-3.15,-1.0500
BNBUSDT,1h,div_bull,3,6,4,1,0,3,1.0000,1.95,1.9500
BNBUSDT,1h,rsi_buy,3,6,8,5,0,3,1.0000,9.75,1.9500
BNBUSDT,1h,rsi_sell,3,6,9,0,5,4,0.0000,-5.25,-1.0500
BNBUSDT,1h,div_bear,3,6,4,0,3,1,0.0000,-3.15,-1.0500
BNBUSDT,1h,div_bull,3,9,4,1,0,3,1.0000,2.95,2.9500
BNBUSDT,1h,rsi_buy,3,9,8,1,0,7,1.0000,2.95,2.9500
BNBUSDT,1h,rsi_sell,3,9,9,0,5,4,0.0000,-5.25,-1.0500
BNBUSDT,1h,div_bear,3,9,4,0,3,1,0.0000,-3.15,-1.0500
BNBUSDT,4h,rsi_sell,1,1,6,4,2,0,0.6667,1.10,0.1833
BNBUSDT,4h,div_bear,1,1,8,4,4,0,0.5000,-1.20,-0.1500
BNBUSDT,4h,rsi_buy,1,1,9,4,5,0,0.4444,-2.35,-0.2611
BNBUSDT,4h,div_bull,1,1,4,3,1,0,0.7500,1.40,0.3500
BNBUSDT,4h,rsi_sell,1,2,6,3,2,1,0.6000,3.25,0.6500
BNBUSDT,4h,div_bear,1,2,8,2,5,1,0.2857,-2.05,-0.2929
BNBUSDT,4h,rsi_buy,1,2,9,3,6,0,0.3333,-1.35,-0.1500
BNBUSDT,4h,div_bull,1,2,4,3,1,0,0.7500,4.40,1.1000
BNBUSDT,4h,rsi_sell,1,3,6,2,3,1,0.4000,2.25,0.4500
BNBUSDT,4h,div_bear,1,3,8,1,6,1,0.1429,-4.05,-0.5786
BNBUSDT,4h,rsi_buy,1,3,9,3,6,0,0.3333,1.65,0.1833
BNBUSDT,4h,div_bull,1,3,4,3,1,0,0.7500,7.40,1.8500
BNBUSDT,4h,rsi_sell,2,2,6,4,1,1,0.8000,2.63,0.5250
BNBUSDT,4h,div_bear,2,2,8,3,3,2,0.5000,-0.45,-0.0750
BNBUSDT,4h,rsi_buy,2,2,9,7,2,0,0.7778,4.32,0.4806
BNBUSDT,4h,div_bull,2,2,4,3,1,0,0.7500,1.70,0.4250
BNBUSDT,4h,rsi_sell,2,4,6,2,3,1,0.4000,0.63,0.1250
BNBUSDT,4h,div_bear,2,4,8,2,4,2,0.3333,-0.45,-0.0750
BNBUSDT,4h,rsi_buy,2,4,9,6,3,0,0.6667,8.33,0.9250
BNBUSDT,4h,div_bull,2,4,4,3,1,0,0.7500,4.70,1.1750
BNBUSDT,4h,rsi_sell,2,6,6,0,5,1,0.0000,-5.38,-1.0750
BNBUSDT,4h,div_bear,2,6,8,1,5,2,0.1667,-2.45,-0.4083
BNBUSDT,4h,rsi_buy,2,6,9,4,5,0,0.4444,6.33,0.7028
BNBUSDT,4h,div_bull,2,6,4,2,2,0,0.5000,3.70,0.9250
BNBUSDT,4h,rsi_sell,3,3,6,3,2,1,0.6000,0.75,0.1500
BNBUSDT,4h,div_bear,3,3,8,2,4,2,0.3333,-2.30,-0.3833
BNBUSDT,4h,rsi_buy,3,3,9,7,2,0,0.7778,4.55,0.5056
BNBUSDT,4h,div_bull,3,3,4,3,1,0,0.7500,1.80,0.4500
BNBUSDT,4h,rsi_sell,3,6,6,1,4,1,0.2000,-2.25,-0.4500
BNBUSDT,4h,div_bear,3,6,8,1,5,2,0.1667,-3.30,-0.5500
BNBUSDT,4h,rsi_buy,3,6,9,5,4,0,0.5556,5.55,0.6167
BNBUSDT,4h,div_bull,3,6,4,2,2,0,0.5000,1.80,0.4500
BNBUSDT,4h,rsi_sell,3,9,6,1,4,1,0.2000,-1.25,-0.2500
BNBUSDT,4h,div_bear,3,9,8,1,5,2,0.1667,-2.30,-0.3833
BNBUSDT,4h,rsi_buy,3,9,9,4,5,0,0.4444,6.55,0.7278
BNBUSDT,4h,div_bull,3,9,4,2,2,0,0.5000,3.80,0.9500
BNBUSDT,1d,div_bull,1,1,4,4,0,0,1.0000,3.40,0.8500
BNBUSDT,1d,rsi_sell,1,1,7,0,7,0,0.0000,-8.05,-1.1500
BNBUSDT,1d,div_bear,1,1,4,2,2,0,0.5000,-0.60,-0.1500
BNBUSDT,1d,rsi_buy,1,1,5,2,3,0,0.4000,-1.75,-0.3500
BNBUSDT,1d,div_bull,1,2,4,3,1,0,0.7500,4.40,1.1000
BNBUSDT,1d,rsi_sell,1,2,7,0,7,0,0.0000,-8.05,-1.1500
BNBUSDT,1d,div_bear,1,2,4,2,2,0,0.5000,1.40,0.3500
BNBUSDT,1d,rsi_buy,1,2,5,1,4,0,0.2000,-2.75,-0.5500
BNBUSDT,1d,div_bull,1,3,4,3,1,0,0.7500,7.40,1.8500
BNBUSDT,1d,rsi_sell,1,3,7,0,7,0,0.0000,-8.05,-1.1500
BNBUSDT,1d,div_bear,1,3,4,1,3,0,0.2500,-0.60,-0.1500
BNBUSDT,1d,rsi_buy,1,3,5,1,4,0,0.2000,-1.75,-0.3500
BNBUSDT,1d,div_bull,2,2,4,3,1,0,0.7500,1.70,0.4250
BNBUSDT,1d,rsi_sell,2,2,7,1,6,0,0.1429,-5.53,-0.7893
BNBUSDT,1d,div_bear,2,2,4,3,1,0,0.7500,1.70,0.4250
BNBUSDT,1d,rsi_buy,2,2,5,2,3,0,0.4000,-1.37,-0.2750
BNBUSDT,1d,div_bull,2,4,4,2,2,0,0.5000,1.70,0.4250
BNBUSDT,1d,rsi_sell,2,4,7,1,6,0,0.1429,-4.52,-0.6464
BNBUSDT,1d,div_bear,2,4,4,1,3,0,0.2500,-1.30,-0.3250
BNBUSDT,1d,rsi_buy,2,4,5,1,4,0,0.2000,-2.38,-0.4750
BNBUSDT,1d,div_bull,2,6,4,2,2,0,0.5000,3.70,0.9250
BNBUSDT,1d,rsi_sell,2,6,7,0,7,0,0.0000,-7.53,-1.0750
BNBUSDT,1d,div_bear,2,6,4,0,4,0,0.0000,-4.30,-1.0750
BNBUSDT,1d,rsi_buy,2,6,5,0,5,0,0.0000,-5.38,-1.0750
BNBUSDT,1d,div_bull,3,3,4,3,1,0,0.7500,1.80,0.4500
BNBUSDT,1d,rsi_sell,3,3,7,2,5,0,0.2857,-3.35,-0.4786
BNBUSDT,1d,div_bear,3,3,4,2,2,0,0.5000,-0.20,-0.0500
BNBUSDT,1d,rsi_buy,3,3,5,1,4,0,0.2000,-3.25,-0.6500
BNBUSDT,1d,div_bull,3,6,4,2,2,0,0.5000,1.80,0.4500
BNBUSDT,1d,rsi_sell,3,6,7,1,6,0,0.1429,-4.35,-0.6214
BNBUSDT,1d,div_bear,3,6,4,1,3,0,0.2500,-1.20,-0.3000
BNBUSDT,1d,rsi_buy,3,6,5,0,5,0,0.0000,-5.25,-1.0500
BNBUSDT,1d,div_bull,3,9,4,2,2,0,0.5000,3.80,0.9500
BNBUSDT,1d,rsi_sell,3,9,7,0,7,0,0.0000,-7.35,-1.0500
BNBUSDT,1d,div_bear,3,9,4,1,3,0,0.2500,-0.20,-0.0500
BNBUSDT,1d,rsi_buy,3,9,5,0,5,0,0.0000,-5.25,-1.0500
